Samples,ALL613
BAB_01da ,1
BAB_03da ,1
BAB_04da ,1
BAB_05da ,1
BAB_06da ,1
BAB_08da ,1
BAB_09da ,1
BAB_10da ,1
BAB_11da ,1
BAB_12da ,1
BAB_13da ,1
BAL_01ta ,1
BAL_02ta ,1
BAL_03ta ,1
BAL_04ta ,1
BAL_05ta ,1
BAL_06ta ,1
BAL_07ta ,1
BAL_08ta ,1
BDO_01da ,1
BDO_02da ,1
BDO_03da ,1
BDO_04da ,1
BDO_05da ,1
BDO_06da ,1
BDO_07da ,1
BDO_08da ,1
BEL_01da ,1
BEL_02da ,1
BEL_03da ,1
BEL_04da ,1
BEL_05da ,1
BEL_06da ,1
BEL_07da ,1
BEL_08da ,1
BGS_01ta ,1
BGS_02ta ,1
BGS_03ta ,1
BGS_04ta ,1
BGS_05ta ,1
BGS_06ta ,1
BGS_07ta ,1
BGS_08ta ,1
BIH_01da ,1
BIH_02da ,1
BIH_03da ,1
BIH_04da ,1
BIH_05da ,1
BIH_06da ,1
BIH_07da ,1
BIH_08da ,1
BOR_01ta ,1
BOR_02ta ,1
BOR_03ta ,1
BOR_04ta ,1
BOR_05ta ,1
BOR_06ta ,1
BOR_07ta ,1
BOR_08ta ,1
BRD_01ta ,1
BRD_02ta ,1
BRD_03ta ,1
BRD_04ta ,1
BRD_05ta ,1
BUD_01da ,1
BUD_02da ,1
BUD_03da ,1
BUD_04da ,1
BUD_05da ,1
BUD_06da ,1
BUD_07da ,1
BUD_08da ,1
BUR_01ta ,1
BUT_01ta ,1
BUT_02ta ,1
BUT_03ta ,1
BUT_04ta ,1
BUT_05ta ,1
BUT_06ta ,1
BUT_07ta ,1
BUT_08ta ,1
CAR_01ta ,1
CAR_02ta ,1
CAR_03ta ,1
CAR_04ta ,1
CAR_05ta ,1
CAR_06ta ,1
CAR_07ta ,1
CAR_08ta ,1
CHO_01ta ,1
CHO_02ta ,1
CHO_03ta ,1
CHO_04ta ,1
CHO_05ta ,1
CHO_06ta ,1
CHO_07ta ,1
CHO_08ta ,1
DON_01da ,1
DRA_01ta ,1
DRA_02ta ,1
DRA_03ta ,1
DRA_04ta ,1
DRA_05ta ,1
DRA_06ta ,1
DRA_07ta ,1
DRA_08ta ,1
FOJ_01da ,1
FOJ_02da ,1
FOJ_03da ,1
FOJ_04da ,1
FOJ_05da ,1
FOJ_06da ,1
FOJ_07da ,1
FOJ_08da ,1
FUG_01ta ,1
FUG_02ta ,1
FUG_03ta ,1
FUG_04ta ,1
FUG_05ta ,1
FUG_06ta ,1
FUG_07ta ,1
FUG_08ta ,1
GOR_01da ,1
GOR_02da ,1
GOR_03da ,1
GOR_04da ,1
GOR_05da ,1
GOR_06da ,1
GOR_07da ,1
GOR_08da ,1
GUL_01ta ,1
GUL_02ta ,1
GUL_03ta ,1
GUL_04ta ,1
GUL_05ta ,1
GUL_06ta ,1
GUL_07ta ,1
GUL_08ta ,1
GUL_09ta ,1
GUL_10ta ,1
GUL_11ta ,1
GUL_12ta ,1
GUL_13ta ,1
GUL_14ta ,1
GUL_15ta ,1
GUL_16ta ,1
GUL_17ta ,1
GUL_18ta ,1
GUL_19ta ,1
HAR_01ta ,1
HAR_02ta ,1
HLI_01da ,1
HLI_02da ,1
HMC_01da ,1
HMC_02da ,1
HMC_03da ,1
HMC_04da ,1
HNE_01da ,1
HNE_02da ,1
HNE_03da ,1
HNE_04da ,1
HNE_05da ,1
HNE_06da ,1
HNE_07da ,1
HNI_01da ,1
HNI_02da ,1
HNI_03da ,1
HNI_04da ,1
HOC_01ta ,1
HOC_02ta ,1
HOC_03ta ,1
HOC_04ta ,1
HOC_05ta ,1
HOC_06ta ,1
HOC_07ta ,1
HOC_08ta ,1
HRA_01ta ,1
HRA_02ta ,1
HRA_03ta ,1
HRA_04ta ,1
HRA_05ta ,1
HRA_06ta ,1
HRA_07ta ,1
HRA_08ta ,1
HRA_09ta ,1
HRA_10ta ,1
HRA_11ta ,1
HRA_12ta ,1
HRA_13ta ,1
HRN_01ta ,1
HRN_02ta ,1
HRN_03ta ,1
HRN_04ta ,1
HRN_05ta ,1
HRN_06ta ,1
INE_01ta ,1
INE_02ta ,1
INE_03ta ,1
INE_04ta ,1
